dmoz.topic,name,frequency
1,Society/Religion_and_Spirituality,44855
2,Arts/Music,23213
3,Business/Industrial_Goods_and_Services,15218
4,Business/Construction_and_Maintenance,13899
5,Computers/Software,13819
6,Society/Law,13617
7,Computers/Internet,13455
8,Business/Business_Services,12793
9,Business/Arts_and_Entertainment,12014
10,Business/Consumer_Goods_and_Services,11716
11,Business/Textiles_and_Nonwovens,11180
12,Recreation/Outdoors,10109
13,Arts/Visual_Arts,9614
14,Business/Financial_Services,9603
15,Recreation/Pets,9518
16,Reference/Education,9286
17,Arts/Performing_Arts,8973
18,Recreation/Food,6642
19,Shopping/Home_and_Garden,6534
20,Business/Electronics_and_Electrical,6052
21,Health/Medicine,6020
22,Business/Transportation_and_Logistics,5942
23,Society/People,5480
24,Society/Organizations,5324
25,Sports/Soccer,5148
26,Games/Video_Games,5128
27,Sports/Golf,5059
28,Shopping/Crafts,5015
29,Society/Issues,5010
30,Science/Social_Sciences,4986
31,Business/Agriculture_and_Forestry,4877
32,Recreation/Travel,4699
33,Sports/Equestrian,4665
34,Business/Food_and_Related_Products,4561
35,Shopping/Food,4546
36,Computers/Programming,4545
37,Arts/Literature,4479
38,Business/Marketing_and_Advertising,4128
39,Shopping/Sports,4081
40,Shopping/Health,4033
41,Science/Biology,3952
42,Business/Healthcare,3907
43,Science/Technology,3868
44,Shopping/Clothing,3691
45,Business/Chemicals,3679
46,Health/Conditions_and_Diseases,3666
47,Business/Publishing_and_Printing,3650
48,Shopping/Recreation,3494
49,Business/Telecommunications,3449
50,Arts/Crafts,3407
51,Science/Environment,3367
52,Arts/Movies,3271
53,Shopping/Vehicles,3271
54,Computers/Hardware,3260
55,Business/Investing,3218
56,Business/Energy,3091
57,Sports/Martial_Arts,3060
58,Recreation/Autos,3047
59,Health/Alternative,3010
60,Reference/Museums,2986
61,Shopping/Visual_Arts,2958
62,Health/Animal,2955
63,Sports/Water_Sports,2576
64,Sports/Motorsports,2559
65,Shopping/Antiques_and_Collectibles,2556
66,News/Newspapers,2485
67,Health/Mental_Health,2258
68,Recreation/Aviation,2243
69,Business/Automotive,2237
70,Shopping/Consumer_Electronics,2227
71,Shopping/Publications,2180
72,Sports/Football,2101
73,Business/Accounting,2047
74,Recreation/Scouting,1992
75,Recreation/Collecting,1958
76,Science/Earth_Sciences,1935
77,Society/Philanthropy,1901
78,Arts/Television,1899
79,Home/Family,1897
80,Business/Management,1894
81,Arts/Photography,1864
82,Society/Relationships,1825
83,Business/Hospitality,1811
84,Home/Cooking,1770
85,Home/Gardening,1765
86,Sports/Cycling,1754
87,Shopping/Entertainment,1753
88,Shopping/Jewelry,1668
89,Society/History,1631
90,Science/Instruments_and_Supplies,1614
91,Society/Ethnicity,1594
92,Shopping/Pets,1519
93,Science/Math,1515
94,Recreation/Boating,1479
95,Business/Aerospace_and_Defense,1452
96,Games/Gambling,1435
97,Sports/Winter_Sports,1433
98,Business/Real_Estate,1418
99,Health/Public_Health_and_Safety,1403
100,Shopping/Music,1393
101,Business/Materials,1388
102,Society/Gay,_Lesbian,_and_Bisexual,1346
103,Health/Addictions,1340
104,Society/Death,1320
105,Business/Environment,1295
106,Computers/Multimedia,1295
107,Business/Opportunities,1220
108,Arts/Illustration,1217
109,Sports/Running,1217
110,Arts/Animation,1209
111,Recreation/Motorcycles,1209
