BTM.topic,Relevance.rank,Term,Probability,Relevance
1,1,phi,0.071,0.914
1,2,sigma,0.072,0.858
1,3,alpha,0.066,0.518
1,4,gamma,0.03,0.387
1,5,beta,0.035,0.327
1,6,kappa,0.025,0.274
1,7,delta,0.048,0.259
1,8,chi,0.04,0.203
1,9,theta,0.017,0.027
1,10,psi,0.022,-0.091
1,11,lambda,0.016,-0.12
1,12,omega,0.024,-0.149
1,13,tau,0.014,-0.161
1,14,epsilon,0.013,-0.205
1,15,zeta,0.012,-0.332
1,16,iota,0.007,-0.632
1,17,pi,0.017,-0.733
1,18,1914,0.004,-0.748
1,19,rho,0.006,-0.827
1,20,mu,0.01,-0.906
1,21,tapi,0.004,-0.938
1,22,nu,0.012,-0.965
1,23,omicron,0.003,-1.128
1,24,unc,0.004,-1.143
1,25,eta,0.004,-1.152
1,26,uga,0.003,-1.21
1,27,alumni,0.007,-1.211
1,28,xi,0.005,-1.235
1,29,sigep,0.002,-1.314
1,30,rpi,0.003,-1.405
2,1,costa,0.056,0.978
2,2,rica,0.034,0.661
2,3,loss,0.044,0.65
2,4,weight,0.034,0.578
2,5,contra,0.013,-0.069
2,6,outward,0.007,-0.4
2,7,painting,0.016,-0.435
2,8,violence,0.007,-0.447
2,9,hair,0.019,-0.463
2,10,faux,0.008,-0.51
2,11,domestic,0.008,-0.529
2,12,terrys,0.005,-0.558
2,13,fairy,0.01,-0.636
2,14,bound,0.01,-0.668
2,15,tales,0.01,-0.815
2,16,lose,0.004,-0.924
2,17,joyful,0.005,-0.953
2,18,la,0.025,-0.968
2,19,paw,0.007,-1.067
2,20,face,0.01,-1.096
2,21,noise,0.007,-1.124
2,22,seaway,0.003,-1.145
2,23,nih,0.003,-1.145
2,24,end,0.011,-1.169
2,25,bill,0.011,-1.22
2,26,surf,0.011,-1.248
2,27,helios,0.003,-1.26
2,28,sphynx,0.002,-1.267
2,29,collectables,0.004,-1.282
2,30,surgeon,0.004,-1.304
3,1,beth,0.084,0.995
3,2,temple,0.086,0.783
3,3,shalom,0.033,0.398
3,4,bnai,0.027,0.393
3,5,israel,0.042,0.333
3,6,sholom,0.016,0.091
3,7,congregation,0.015,-0.034
3,8,tikvah,0.011,-0.105
3,9,torah,0.016,-0.158
3,10,emanuel,0.01,-0.343
3,11,cong,0.007,-0.624
3,12,synagogue,0.007,-0.715
3,13,hindu,0.007,-0.779
3,14,ha,0.013,-0.872
3,15,sinai,0.007,-0.872
3,16,rei,0.006,-0.898
3,17,zion,0.011,-0.901
3,18,chaim,0.004,-0.94
3,19,kol,0.006,-0.98
3,20,hama,0.004,-0.982
3,21,hom,0.005,-0.997
3,22,shaare,0.003,-1.01
3,23,orch,0.004,-1.02
3,24,messiah,0.007,-1.021
3,25,am,0.022,-1.054
3,26,shir,0.004,-1.194
3,27,krishna,0.004,-1.349
3,28,or,0.016,-1.377
3,29,miriam,0.002,-1.387
3,30,bethel,0.007,-1.408
4,1,holy,0.106,0.932
4,2,lutheran,0.044,-0.034
4,3,trinity,0.042,-0.07
4,4,cross,0.032,-0.384
4,5,blessed,0.011,-0.533
4,6,savior,0.008,-0.646
4,7,parish,0.019,-0.737
4,8,church,0.049,-0.761
4,9,our,0.021,-0.78
4,10,redeemer,0.008,-0.891
4,11,family,0.025,-0.895
4,12,rosary,0.007,-0.91
4,13,sacrament,0.005,-0.91
4,14,ascension,0.006,-1.072
4,15,spirit,0.015,-1.098
4,16,gloria,0.005,-1.115
4,17,dei,0.004,-1.2
4,18,catholic,0.012,-1.24
4,19,saviour,0.003,-1.249
4,20,saviors,0.003,-1.255
4,21,lc,0.008,-1.324
4,22,ctk,0.004,-1.337
4,23,messiah,0.005,-1.35
4,24,shepherd,0.007,-1.364
4,25,apostles,0.003,-1.417
4,26,atonement,0.002,-1.447
4,27,resurrection,0.003,-1.488
4,28,elca,0.004,-1.516
4,29,immanuel,0.004,-1.569
4,30,grace,0.01,-1.575
5,1,animal,0.175,1.095
5,2,hospital,0.128,0.871
5,3,clinic,0.076,0.472
5,4,vet,0.037,-0.42
5,5,veterinary,0.015,-0.495
